User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG user time;AVG resident set;;
0,53;166;0:00.45;678492;0,54;80;0:00.96;678372;0,52;87;0:00.88;678348;0,47;121;0:00.61;678364;0,53;100;0:00.76;678608;0,52;64;0:01.17;678256;0,53;117;0:00.63;678624;0,53;106;0:00.72;678604;0,55;110;0:00.70;678488;0,52;123;0:00.61;678416;80;10000;50;0,524;678457,2;678457,2;min
2,16;185;0:01.30;720212;2,19;185;0:01.29;719952;2,14;179;0:01.35;719972;2,21;182;0:01.33;720144;2,12;180;0:01.33;719980;2,2;180;0:01.35;720104;2,13;185;0:01.28;720000;2,11;180;0:01.33;720092;2,1;179;0:01.33;720056;2,11;177;0:01.34;720116;80;100000;50;2,147;720062,8;2356013,2;max
18,99;196;0:09.93;830800;18,89;197;0:09.86;830924;18,9;197;0:09.89;830708;18,85;198;0:09.81;830716;18,86;197;0:09.83;830708;18,9;197;0:09.85;830756;18,89;193;0:10.05;830776;18,86;198;0:09.80;830792;18,85;197;0:09.90;830872;19,06;194;0:10.12;830876;80;1000000;50;18,905;830792,8;1146331,5;avg
191,34;198;1:38.22;2355972;190,71;202;1:36.21;2356028;191,6;201;1:37.06;2355900;191,39;201;1:36.77;2355920;190,75;201;1:36.27;2356016;191,68;201;1:37.21;2356008;192,58;201;1:37.37;2356068;190,81;202;1:36.16;2356028;190,51;202;1:36.14;2356084;190,44;202;1:35.86;2356108;80;10000000;50;191,181;2356013,2;;
0,51;169;0:00.45;678464;0,51;169;0:00.45;678756;0,53;170;0:00.44;678692;0,54;172;0:00.44;678584;0,51;169;0:00.44;678688;0,5;166;0:00.45;678632;0,52;172;0:00.43;678456;0,51;169;0:00.45;678664;0,52;168;0:00.44;678468;0,51;165;0:00.46;678764;80;10000;55;0,516;678616,8;678616,8;min
2,12;178;0:01.35;720076;2,19;177;0:01.36;719960;2,12;176;0:01.36;719816;2,1;178;0:01.33;720140;2,2;179;0:01.35;719968;2,15;177;0:01.35;719856;2,24;179;0:01.35;720136;2,11;181;0:01.32;720044;2,18;181;0:01.34;719880;2,14;180;0:01.36;720000;80;100000;55;2,155;719987,6;2356041,2;max
18,84;197;0:09.85;830840;18,92;196;0:09.92;830816;18,9;196;0:09.92;830728;18,82;197;0:09.80;830820;18,8;197;0:09.83;830736;18,9;197;0:09.84;830884;18,74;197;0:09.78;830780;19;195;0:10.01;830744;18,88;196;0:09.91;830876;18,86;197;0:09.81;830772;80;1000000;55;18,866;830799,6;1146361,3;avg
190,95;197;1:38.47;2356068;190,73;198;1:37.79;2356028;191,8;201;1:36.89;2356020;191,58;201;1:36.63;2356028;189,67;202;1:35.59;2356092;193,09;201;1:37.76;2355988;190,94;201;1:36.36;2356120;189,92;202;1:35.52;2356000;190,61;202;1:36.11;2355984;191,27;202;1:36.05;2356084;80;10000000;55;191,056;2356041,2;;
0,48;168;0:00.43;678668;0,52;168;0:00.44;678704;0,51;166;0:00.46;678756;0,5;167;0:00.44;678744;0,5;166;0:00.44;678672;0,54;169;0:00.44;678356;0,48;170;0:00.44;678736;0,54;170;0:00.44;678828;0,5;169;0:00.44;678468;0,52;164;0:00.45;678656;80;10000;60;0,509;678658,8;678658,8;min
2,15;178;0:01.35;720120;2,15;182;0:01.32;719996;2,16;179;0:01.34;719820;2,16;182;0:01.33;719920;2,14;183;0:01.30;719904;2,17;177;0:01.35;719788;2,16;179;0:01.33;720112;2,14;177;0:01.35;719880;2,19;179;0:01.35;720088;2,14;176;0:01.36;719792;80;100000;60;2,156;719942;2355996,8;max
18,65;198;0:09.68;830800;18,67;198;0:09.73;830688;18,66;198;0:09.71;830736;18,78;198;0:09.74;830836;18,87;197;0:09.84;830748;18,89;197;0:09.84;830732;18,81;198;0:09.76;830860;18,69;198;0:09.67;830792;18,78;198;0:09.76;830796;18,75;197;0:09.82;830784;80;1000000;60;18,755;830777,2;1146343,7;avg
189,38;202;1:35.48;2356012;189,57;202;1:35.33;2356036;190,76;201;1:36.40;2355960;190,06;202;1:35.56;2355988;189,63;201;1:35.66;2356016;190,31;202;1:35.94;2355924;190,36;201;1:36.04;2356060;189,4;202;1:35.28;2355956;189,68;202;1:35.35;2355972;189,12;201;1:35.64;2356044;80;10000000;60;189,827;2355996,8;;
